id_city;city;id_province
295;Lules;16
296;Magallanes;5
297;Magdalena;23
298;Maipú;9
299;Maipú;19
300;Maipú;23
301;Malargüe;9
302;Malvinas Argentinas;23
303;Mar Chiquita;23
304;Maracó;12
305;Marcos Juárez;8
306;Marcos Paz;23
307;Mártires;7
308;Matacos;20
309;Mayor Luis J. Fontana;19
310;Mburucuyá;14
311;Mercedes;14
312;Mercedes;23
313;Merlo;23
314;Metán;18
315;Minas;8
316;Minas;17
317;Mitre;13
318;Molinos;18
319;Monte;23
320;Monte Caseros;14
321;Monte Hermoso;23
322;Montecarlo;1
323;Monteros;16
324;Moreno;13
325;Moreno;23
326;Morón;23
327;Navarro;23
328;Necochea;23
329;Nogoyá;4
330;Ñorquín;17
331;Ñorquinco;6
332;Oberá;1
333;O'Higgins;19
334;Ojo de Agua;13
335;Olavarría;23
336;Orán;18
337;Paclín;11
338;Palpalá;21
339;Paraná;4
340;Paso de Indios;7
341;Paso de los Libres;14
342;Patagones;23
343;Patiño;20
344;Pehuajó;23
345;Pehuenches;17
346;Pellegrini;13
347;Pellegrini;23
348;Pergamino;23
349;Pichi Mahuida;6
350;Picún Leufú;17
351;Picunches;17
352;Pila;23
353;Pilagás;20
354;Pilar;23
355;Pilcaniyeu;6
356;Pilcomayo;20
357;Pinamar;23
358;Pirané;20
359;Pocho;8
360;Pocito;3
361;Pomán;11
362;Presidencia de la Plaza;19
363;Presidente Perón;23
364;Presidente Roque Sáenz Peña;8
365;Puán;23
366;Puelén;12
367;Punilla;8
368;Punta Indio;23
369;Quebrachos;13
370;Quemú Quemú;12
371;Quilmes;23
372;Quitilipi;19
373;Ramallo;23
374;Ramón Lista;20
375;Rancul;12
376;Rauch;23
377;Rawson;3
378;Rawson;7
379;Realicó;12
380;Rinconada;21
381;Río Chico;5
382;Río Chico;16
383;Río Cuarto;8
384;Río Grande;24
385;Río Hondo;13
386;Río Primero;8
387;Río Seco;8
388;Río Segundo;8
389;Río Senguer;7
390;Rivadavia;3
391;Rivadavia;9
392;Rivadavia;13
393;Rivadavia;18
394;Rivadavia;23
395;Robles;13
396;Rojas;23
397;Roque Pérez;23
398;Rosario;15
399;Rosario de la Frontera;18
400;Rosario de Lerma;18
401;Rosario Vera Peñaloza;10
402;Saavedra;23
403;Saladas;14
404;Saladillo;23
405;Salavina;13
406;Salliqueló;23
407;Salto;23
408;San Alberto;8
409;San Andrés de Giles;23
410;San Antonio;6
411;San Antonio;21
412;San Antonio de Areco;23
413;San Blas de Los Sauces;10
414;San Carlos;9
415;San Carlos;18
416;San Cayetano;23
417;San Cosme;14
418;San Cristóbal;15
419;San Fernando;19
420;San Fernando;23
421;San Ignacio;1
422;San Isidro;23
423;San Javier;1
424;San Javier;8
425;San Javier;15
426;San Jerónimo;15
427;San Justo;8
428;San Justo;15
429;San Lorenzo;15
430;San Lorenzo;19
431;San Luis del Palmar;14
432;San Martín;3
433;San Martín;9
434;San Martín;13
435;San Martín;14
436;San Martín;15
437;San Miguel;14
438;San Miguel;23
439;San Nicolás;23
440;San Pedro;1
441;San Pedro;21
442;San Pedro;23
443;San Rafael;9
444;San Roque;14
445;San Salvador;4
